所在城市,公司名字,曝光/施行时间,制度描述,suggested_label,label
北京,[天眼查](https://www.tianyancha.com/),2019年4月7日,996,1,
北京,[去哪儿网](https://www.qunar.com/),2019年4月7日,10106,0,
北京,[云鸟科技](https://www.yunniao.cn/),2019年4月7日,996,1,
北京,[iCourt](www.icourt.cc/),2019年4月7日,996 or 10116,1,
北京,[初见科技](www.chujian.com/),2019年4月7日,995,1,
北京,[作业帮](https://www.zybang.com/),2019年4月7日,大小周,0,
北京,[数美科技](https://www.ishumei.com/),2019年4月8日,大小周，加班,0,
北京,[快方送药](http://www.kfyao.com/),已经施行一段时间了,996,1,
北京,[快陪练](https://www.kuaipeilian.com),2019年4月8日,996,1,
深圳,[广东虚拟现实科技有限公司(Ximmerse)](https://www.ximmerse.com/),2016年06月1日,996,1,
成都,[成都二次元动漫有限公司](https://www.kanman.com/),2018年12月1日,996,1,
北京,[东华软件股份公司](http://www.dhcc.com.cn/),2018年2月,996,1,
天津,[易思维(杭州/天津)科技有限公司](http://www.tjisv.com/),2019年4月,996,1,
长沙,[湖南创发科技有限公司](http://www.transfar.com/),2019年3月,996,1,
珠海,[金山软件](http://www.kingsoft.com/),2017年7月12日,996/9106,1,
北京,[信美人寿相互保险社](https://www.trustlife.com/),2019年,996,1,
太原,[辉讯网络技术有限公司](http://www.7zy.net/),2019年3月,996,1,
上海,[上海基分文化传播有限公司](https://www.qutoutiao.net//),2019年12月,995+大小周,1,
上海,[上海鱼泡泡信息科技有限公司](https://www.yupaopao.com//),2018年12月,996,1,
武汉,[武汉星云海数字科技股份有限公司](http://www.scotec.net/),2019年4月,996,1,
福建,[福建浔兴拉链科技股份有限公司](http://www.sbszipper.com/),2019年6月17日,单休,0,
上海,[掌门一对一教育有限公司](https://www.zhangmen.com/),2019年4月,大小周,0,
北京,[北京中广创思文化传播有限公司](http://www.cbct.cn/),2019年4月,996/9107,1,
北京,[易车网](http://beijing.bitauto.com/),2019年4月,996,1,
北京,[北京今始科技有限公司](https://linkface.cn/),2019年3月,996、恶意裁员,1,
北京,[北京数码视讯科技股份有限公司](http://www.sumavision.com/),2011年4月,996，大小周,1,
北京,[北京声智科技有限公司](http://www.soundai.com/),2019年4月,996,1,
北京,[蛋壳公寓](https://www.danke.com/),2018年7月,10106/10107,0,
北京,[北京掌握时代科技股份有限公司](http://www.mastertimes.net/),2019年4月,996,1,
北京,[快手](https://kuaishou.com),2019年6月18日,996,1,
北京,[51talk](http://www.51talk.com/),2019年4月,早11晚10一周6天，领导不高兴就不放假或者让你晚上12点走,0,
南京,[苏宁](http://www.suning.com),2019年3月,996,1,
厦门,[4399游戏](www.4399.com/),2019年4月7日,10106,0,
厦门,[联生活科技集团](https://www.lsh1688.cn/),2021年5月29日,大小周+经常加班+拖欠工资+不缴纳一金,2,
嘉兴/广州,[蓝鸽集团有限公司](http://www.chinalancoo.com),2019年4月4日,每月仅加班需满50小时,0,
大连,[大连东软集团](https://www.neusoft.com/cn/),2019年4月,9106,0,
大连,[大连同方软银科技股份有限公司](http://www.tfrunning.com.cn),2019年4月,996,1,
天津,[长城汽车股份有限公司天津园区](http://www.gwm.com.cn/),2019年3月28日,大小周,0,
天津,[小黑鱼](https://blackfish.cn),2019年4月7日,996,1,
天津,[天津天地伟业科技有限公司](http://tideway.com.cn/),2019年4月8日,强制996,2,
天津,[易思维(杭州/天津)科技有限公司](http://www.tjisv.com/),2019年4月,996,1,
太原,[辉讯网络技术有限公司](http://www.7zy.net/),2019年3月,996,1,
山东淄博,[山东兆物网络技术股份有限公司](http://www.imegaware.com/),2019年4月9日,8106,0,
广州,[小鹏汽车(XPENG Motors)](http://www.xiaopeng.com/),2018年,大小周、大会战（996）、各部门的上班时间进行排名,1,
广州,[鲸鱼游戏](http://www.adjingyu.com/),2017年3月,996,1,
广州,[多益网络](https://www.duoyi.com),2018年3月,9106,0,
广州,[网易游戏](https://game.163.com/),2019年4月7日,10106,0,
广州,[三七互娱](www.37wan.net/),2019年4月7日,9115 9116?,0,
广州,[广州创思信息技术有限公司（9377 游戏）](https://www.9377.com),2019年4月8日,大小周加班,0,
成都,[tap4fun](https://www.tap4fun.com/),2019年4月7日,996,1,
成都,[成都二次元动漫有限公司](https://www.kanman.com/),2018年12月1日,996,1,
成都,[成都索贝数码科技股份有限公司](http://www.sobey.com/),2019年4月8日,996 无倒休,1,
河北秦皇岛,[河北东软软件有限公司](https://www.neuqsoft.com/),2019年4月,"8.30-21,副总亲自回复邮件加班",0,
成都,[成都未知未来科技有限公司](https://cdxfuture.com/xf/),2018年12月,大小周、拖欠工资，裁员无补偿,2,
杭州,[阿里巴巴](https://www.alibabagroup.com/),2018年6月,996,1,
杭州,[蚂蚁金服](https://www.antfin.com/),2018年11月,9106,0,
杭州,[有赞](https://www.youzan.com),2019年1月,996,1,
杭州,[智贝科技](https://www.zhipin.com/gongsi/09aefd7a9d507c2f1nd82tu9Ew~~.html),2019年3月,强制996、歧视程序员,2,
杭州,[同花顺](http://www.10jqka.com.cn/),2018年12月,大小周、加班,0,
杭州,[杭州海康威视数字技术股份有限公司](https://www.hikvision.com/cn/),2018年,996,1,
杭州,[浙江大华技术股份有限公司](https://www.dahuatech.com/),2018年,加班,0,
杭州,[浙江宇视科技有限公司](http://fenxiao.uniview.com/),2018年,大小周加班,0,
杭州,[网易考拉海购](https://www.kaola.com/),2019年4月7日,996,1,
杭州,[盘石信息科技有限公司](http://www.adyun.com/zh-cn/index.html),2018年11月12日,996/9106,1,
杭州,[悠书网络科技有限公司](http://www.77ad.com/),2019年5月到7月底,"9 6.5 5/每周强制加班8小时,每月不达标辞退",2,
武汉,[武汉小码联城科技有限公司](http://www.i-xiaoma.com),2019年4月22日,995,1,
武汉,[氪细胞](http://www.timing360.com/),2019年3月,996,1,
武汉,[武汉精臣智慧标识科技有限公司](http://www.jc2008.com/),2018年9月,966,0,
武汉,[武汉星云海数字科技股份有限公司](http://www.scotec.net/),2019年4月,996,1,
武汉,[武汉斗鱼网络科技有限公司](https://www.douyu.com/),2018年9月,每天至少加班两小时，拖欠大量工资，无加班费,2,
泰安,[浪潮软件](www.inspur.com/),2019年4月7日,6 * 12 ！,0,
济南,[山东国子软件股份有限公司](http://www.googosoft.com/),2017年4月,886,0,
济南,[普联软件](www.pansoft.com/),2019年4月7日,8106,0,
深圳,[华为](https://www.huawei.com/cn/),2010年8月,9106,0,
深圳,[大疆创新](https://www.dji.com/cn),2018年12月,996,1,
深圳,[深信服](http://www.sangfor.com.cn),2019年3月,9106,0,
深圳,[跨越速运](http://www.ky-express.com/),2018年8月,大小周、<br>加班、裁员,0,
深圳,[马上金融](https://www.msxf.com/),2018年3月,996,1,
深圳,[深圳市世纪纵横科技发展有限公司](http://www.viothink.com/?tdsourcetag=s_pctim_aiomsg),2019年4月,966、加班、拖延工资,0,
深圳,[深圳市环球易购电子商务有限公司](https://www.globalegrow.com/),2007年5月,大小周、经常996、偶尔通宵,1,
深圳,[腾讯](https://www.tencent.com/zh-cn/index.html),2019年4月7日,996,1,
深圳,[VIVO](https://www.vivo.com.cn/),2019年4月14日,996大小周,1,
深圳,[房多多](https://m.fangdd.com/),2019年4月7日,996,1,
深圳,[万兴科技](https://www.wondershare.cn/),2019年4月7日,995,1,
深圳,[追一科技](https://zhuiyi.ai/),2019年4月7日,10106 疯狂加班,0,
深圳,[深圳市猜猜城科技有限公司](www.guesscity.net/),2019年4月7日,996,1,
深圳,[道通科技](www.auteltech.cn/),2019年4月7日,996,1,
深圳,[尊豪网络科技有限公司](www.szzunhao.com/),2019年4月7日,每天10小时,0,
深圳,[广东虚拟现实科技有限公司(Ximmerse)](https://www.ximmerse.com/),2016年06月1日,996,1,
深圳,[边度网络科技（深圳）有限公司](https://www.bindo.com/),2019年3月25日,996,1,
深圳,[微付充科技有限公司](http://www.vfuchong.com/),2019年4月,大小周， 每个月固定两天,0,
深圳,[深圳沈鼓测控技术有限公司](http://www.shenguyun.com/),2019年4月,提倡员工签署自愿加班协议,0,
深圳,[深圳市前海手绘科技文化有限公司](https://www.laihua.com/),2019年4月,996连坐，如果有人迟到或请事假，全部门996一周,1,
深圳/杭州,[华为外包](https://www.kanzhun.com/gsr1439970.html),2018年3月,大小周、加班、裁员,0,
深圳,[深圳聚力创想信息科技有限公司](https://www.qidianla.com/),------,大小周、加班,0,
珠海,[金山软件](http://www.kingsoft.com/),2017年7月12日,996/9106,1,
福州,[中富通集团股份有限公司](http://www.zftii.com/),2019年4月,宣扬马云996 随意要求员工加班,1,
苏州,[顺舟智能](http://www.shuncom.com),2019年3月,996,1,
苏州,[苏州同思软件有限公司](http://www.one-dream.com.cn/),2019年4月,996、9106,1,
苏州,[凌志软件股份有限公司](http://www.linkstec.com/),2019年4月,996，9106，9116,1,
苏州,[Momenta](https://www.momenta.cn/),2019年4月,996,1,
长沙,[湖南创发科技有限公司](http://www.transfar.com/),2019年3月,996,1,
青岛,[海尔集团](http://www.haier.net/),2019年4月,996,1,
西安,[易点天下](http://facebook.yeahmobi.com/),-----,9116/9117,0,
潍坊,[歌尔股份](https://www.goertek.com/),2019年4月,大小周、节假日遇单休从双休周调休,0,
济南,[浪潮集团](http://www.inspur.com/),-----,996,1,
西安,[中软国际科技服务有限公司](http://www.chinasofti.com/),2019年4月,996,1,
深圳,[紫优科技](https://www.zhipin.com/gongsir/7610a4892e11cc781XZ_09i1FA~~.html?ka=company-jobs),2019年4月,9116,0,
大连,[大连大连海大赢海科技有限公司](http://www.yinghaikeji.com/),2019年9月,强制996、大小周,2,
上海/西安,[华勤通讯技术有限公司](http://www.huaqin.com/),2019年4月,996,1,
北京,[小猪短租](http://www.xiaozhu.com/),-----,997,0,
深圳,深圳市蓝色海洋教育科技有限公司,2019年4月,996,1,
广州,[广州明动软件股份有限公司](http://www.minstone.com.cn/),2018年9月,9106,0,
广西,广西安辰信息产业股份有限公司,2019年4月,大小周,0,
深圳,[深圳市康拓普信息技术有限公司](https://www.szcomtop.com//),2019年4月,9127,0,
山东,潍柴动力股份有限公司/潍柴集团,2019年5月,无双休,0,
深圳,深圳市金泰长丰科技有限公司,2019年5月,大小周、无加班工,0,
重庆,重庆力华亘田科技有限公司,2019年5月,886计件，实际两周放一天假，没有加班费，法定假缩水。计时大小周，加班费不分法定假与周末，一律7元每小时。,2,
北京,北京永信至诚科技股份有限公司,2019年5月,正常965，但强制每月加三天班，每周末加半天班,2,
北京,美团,2019年5月,10 10 5,0,
苏州,玩友时代,2019年5月,"995, 排班996值班;无加班工资，名义调休，真调休的话领导各种不爽",1,
北京,赞同科技,2019年5月,"997, 无加班工资",0,
北京,网医纳康,2019年5月,996，奋斗者协议,1,
淄博,淄博赢师教育有限公司,2019年5月,老板随心所欲扣钱处罚，上下班无固定时间，出差无休息，强制加班，加班费只有几块钱甚至无加班费,2,
北京,北京凯奇谷信息技术股份有限公司,2019年5月,996,1,
深圳,深圳航天信息,2019年5月,976；大小周；完全没有加班工资，没有任何补助，加班时间计算在绩效中，每天没加班1小时扣绩效。,0,
南京,江苏润恒物流发展有限公司（集团）,2019年5月,8:30-20:30或10:30 无加班工资，不加班扣工资，扣押合同，不按合同发放13薪水，拖欠工资…,2,
北京,海尔优家智能科技（北京）有限公司,2019年5月,不定期996或976，没有加班工资，或极少补偿；开始强制2个月，强制执行3个月，春节前后不能请假,2,
北京,松鼠拼拼,2019年5月,996,1,
南京,车置宝,2019年5月,996,1,
深圳,深圳市艾森智能技术有限公司,2019年5月,996，加班无工资，激励员工多加班。扬言说不加班不是的公司会死去。,1,
杭州,杭州数澜科技有限公司,2019年5月,996,1,
大连,[大连同方软银科技股份有限公司](http://www.tfrunning.com.cn),2019年4月,996,1,
深圳市,优学派（深圳市致远优学教育科技有限公司）（优学天下教育发展股份有限公司）,2019年5月,规定965，实际一年3/4时间都是9(9-凌晨5)(6‖7)，没有加班工资。,0,
深圳,深圳农村商业银行,2019年5月,8.5 8.5 6 外包,0,
北京,北京中体联合数据科技有限公司,2019年5月,996,1,
北京,北京金山办公软件有限公司,2019年5月,996，黑心企业，默认加班，无加班工资，不加班被谈话，一个奇葩的公司,1,
合肥市,安徽学云教育信息科技有限公司,2019年5月,每周 一二四六 加班，虽然没说到几点，但基本默认必须到9点以后,0,
武汉,精灵云网络,2019年5月,利用合同漏洞等拒绝赔偿开除赔款,0,
马鞍山市,马鞍山百助网络科技有限公司,2019年5月,996,1,
西安,伯图大数据西安分公司,2019年5月,我公司规定是996的上班模式，看能接受吗？第一个数字上班时间，第二个数字下班时间，第三个数字一周的上班天数。这是我们规定的上班时间，薪资可以谈，但是需要来公司和用人部门面谈一下。,1,
成都,[成都几维科技](http://www.kiwigames.cn/),2019年3月,10 8 5，项目提审阶段10 10 6，实习生也不放过，并且实习生没有加班工资,0,
大连,[同方软银](http://www.tfrunning.com.cn/),2017年5月,996,1,
杭州,[浙江大华](https://www.dahuatech.com/index.php/about.html),2015年10月,浙江杭州办linux运维的技术支持大小周、无加班工资,0,
深圳,[利朗达](http://www.rondaful.com/),2017年10月,996、加班费一天15块,1,
兰州,[中电万维](http://www.wanwei.com.cn/),2018年3月,997,0,
广州,广州智悦网络科技有限公司,2019 年 4 月 1 号,995,1,
上海,[上海欧电云信息科技有限公司](http://www.odianyun.com/),2019年5月,表面是965，其实至少995，经常加班到凌晨1‖2点，没有加班工资。,1,
南京,[南京万米信息技术有限公司](http://www.wanmi.com/),2019年6月,公司经常996,1,
成都,成都市极米科技有限公司,2019年6月,大小周、99,0,
兰州,中电万维信息技术有限责任公司,2019年6月,996,1,
成都,成都洋葱新未来网络科技有限公司,2019年6月,9 10 6 无加班工资，工作日加班4小时第二天只能晚到30分钟，仅周末加班可调休,0,
成都、宁波、惠州,TCL通讯,2019年6月,提倡996、007，无加班工资,1,
深圳,中睿宏智汽车技术（深圳）有限公司,2019年6月,995并且拖欠工资,2,
北京、南京,小诚文化传媒有限公司,2019年6月,大小周、无加班工资、无年假、绩效占比过高,0,
上海,思满科技,2019年9月,至少996，无加班工资,1,
上海,上海非码网络科技有限公司,2019年9月,996，无加班费，更不提供加班餐。,1,
长沙,杭州数梦工场科技有限公司,2019年9月,周一到周四早9晚9 周五周日早9晚6,0,
桐庐,海康威视,2019年9月,777大小周,0,
北京,北京狸米科技有限公司,2019年5月,996,1,
杭州,吾诺瀚卓,nan,8:30-18:00，一周6天,0,
临沂,临沂乐卓软件开发有限公司,未知，应该是从成立开始,86.56,0,
郑州,宇通客车股份有限公司,2019年9月,887,0,
东莞,[华勤通讯](http://www.huaqin.com/),2019年7月,996，每天加班,1,
杭州,安徽凯才信息有限公司(呆萝卜)杭州研发中心,2019年6月,996,1,
山东临沂,临沂沂川网络科技有限公司,2019年7月,强制加班,2,
山东临沂,临沂沂川网络科技有限公司,2019年5月,51强制加班不放假,2,
山东临沂,临沂沂川网络科技有限公司,2019年4月,端午强制加班不放假,2,
山东临沂,临沂沂川网络科技有限公司,2019年4月,"请假1天扣双倍工资,定修4天(即使某月有5个周日)",0,
山东临沂,临沂沂川电子有限公司,2015年9月,沂川网络招聘用的皮包公司,0,
南京,法奔科技,2018年,"996,阴阳合同,强制加班,扣离职工资,老板律师知法犯法",2,
上海,普道科技,2020年8月,"晚上11点,早上10点,一周6天,有的组一周7天，不让请事假病假，周六加班请假有惩罚",2,
上海,上海栈略数据技术有限公司,2019年8月,"时间不定, 基本8点, 扬言加班也得做完, 并没有任何补偿",0,
北京,东方国信,2019年8月,"晚上9点,早上9点,一周6天",0,
北京-长沙,映客直播,2019年8月,"晚上隐性加班,一周6天",0,
北京,澎思智能,2019年7月,996,1,
南京,[中设设计集团子公司纬信工程咨询公司](http://www.js-wx.com.cn/lxwm.asp),自公司成立,领导明令8106，工作前三年无年假,0,
北京,畅捷通信息技术股份有限公司,"2019年8月,9月","领导明令996, 每周二四固定加班",1,
上海,上海竟跃网络科技有限公司,2019年或更早,招聘网站写明007,1,
云南昆明,云南联通新通信有限公司,2020年2月起,云南联通新通信有限公司：云南联通经济效益太差执行混改后划分的子公司，新官上任三把火，加之内心清楚初始资本不够耗，运营模式商业转化效率低下，开始勒令开发996，执行之后对公说这是开发部门自发奋斗，其他部门应该与之学习,1,
深圳-成都-重庆,深圳市锐明技术股份有限公司,2020年4月,"领导明令996, 每周三固定加班,无加班工资，加班不调休",1,
深圳,深圳市万屏时代科技有限公司,2020年4月,强制996，迟到早退罚款,2,
成都,天津硕烁科技有限公司,2020年12月,应该是个外包壳公司，成都的注意这个办公地点（成都市 武侯区 招商银行金融后台服务中心）我看到有十来个公司招聘的办公地点都在这里，可以确定这里是个外包，这家公司明确的挂出了996,1,
深圳,深圳市富元网络科技有限公司,2020年9月,公司老板强制996，无加班费，只有远低于工资的少量餐补，公司已从“深圳市新超能数字信息技术服务有限公司”改名为“深圳市富元网络科技有限公司”，简称“富元环球”,2,
北京,Udesk(北京沃丰时代数据科技有限公司),2019年,996,1,
广东,[广东数果科技有限公司](http://sugo.io/),2021年8月1号,某领导高层要求产品团队强制 996，忽悠的一波并且不给加班费；钉钉上打卡时间设置下21:00才下班，早下的视为早退；已经有几个同事提出离职，已经有几个同事不服从的被离职。见到的不要来啊，福利真的没啥。,2,
上海,上海电信CRM项目组,2019年5月,每天至少工作12小时，周末采取大小周,0,
广州,北京滴普科技有限公司,2019年10月底,"群里宣布10106/996,请假还需报备",1,
北京,北京信安世纪科技股份有限公司 / 北京华耀科技有限公司,2023年4月,985，明确表明20:00前的加班不算加班，不统计进调休时间内。,2,
天津,北京安华金和科技有限公司-天津研发中心,2025年3月,某大领导为赶所谓的进度群里要求晚上加班到21:00以后，周六也要来上班,0,
